Type,PROVIDER NAME,StartDateTime,DateCreated,ID,ExternalID,FareAmount,GratuityAmount,SurchargeAmount,ExtraFareAmount,TollAmount,TotalAmount,PaymentType,StartDateTime,EndDateTime,OriginStreetNumber,OriginStreetName,OriginCity,OriginState,OriginZip,OriginLatitude,OriginLongitude,DestinationStreetNumber,DestinationStreetName,DestinationCity,DestinationState,DestinationZip,DestinationLatitude,DestinationLongitude,Milage,Duration
1,UVC,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:30:50.8233333 +00:00,B678__74501__2017-01-01T00:30:50.823_26359386,26359386,5.95,3,0.25,1,0,10.2,1,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:21:00.0000000 +00:00,NULL,1001-1099 9TH ST NW,Washington,DC,20001,38.90311,-77.0238,NULL,1289-1299 MASSACHUSETTS AVE NW,Washington,DC,20005,38.90488,-77.02951,0.3,7
1,UVC,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:30:50.9733333 +00:00,B840__70066__2017-01-01T00:30:50.973_26359387,26359387,7.3,0,0.25,1,0,8.55,2,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:21:00.0000000 +00:00,NULL,847-899 F St NW,Washington,DC,20004,38.89726,-77.02368,NULL,1450 Rhode Island Ave Nw,Washington,DC,20005,38.90814,-77.03381,1.1,9
1,UVC,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:30:51.1066667 +00:00,B669__64438__2017-01-01T00:30:51.107_26359388,26359388,6.49,3,0.25,1,0,10.74,1,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:22:00.0000000 +00:00,NULL,1615 21st St Nw,Washington,DC,20009,38.91195,-77.04656,NULL,2725 CONNECTICUT AVE NW,WASHINGTON,DC,20008,38.9264,-77.05264,0,8
1,UVC,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:30:51.2333333 +00:00,B934__73211__2017-01-01T00:30:51.233_26359389,26359389,12.7,0,0.25,0,0,12.95,2,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:21:00.0000000 +00:00,NULL,1425 11TH ST NW,Washington,DC,20001,38.90916,-77.027,NULL,4536-4598 7th St NW,Washington,DC,20011,38.94607,-77.02187,2.9,18
1,UVC,2017-01-01 00:10:00.0000000 +00:00,2017-01-01 00:30:51.3466667 +00:00,F982__73416__2017-01-01T00:30:51.347_26359390,26359390,8.92,0,0.25,1,0,10.17,2,2017-01-01 00:10:00.0000000 +00:00,2017-01-01 00:22:00.0000000 +00:00,NULL,1300 CONNECTICUT AVE NW,Washington,DC,20036,38.90782,-77.04241,NULL,1434 F ST NW,WASHINGTON,DC,20004,38.89724,-77.0335,1.2,12
1,UVC,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:30:51.4100000 +00:00,G200__82631__2017-01-01T00:30:51.410_26359391,26359391,7.3,1,0.25,0,0,8.55,1,2017-01-01 00:14:00.0000000 +00:00,2017-01-01 00:22:00.0000000 +00:00,NULL,2001 14th St Nw,Washington,DC,20009,38.91711,-77.03195,NULL,3232 Georgia Ave NW,Washington,DC,20010,38.9309,-77.02415,1.3,8
1,UVC,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:30:51.5000000 +00:00,B780__76915__2017-01-01T00:30:51.500_26359392,26359392,10.27,2.1,0.25,0,0,12.62,1,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:22:00.0000000 +00:00,NULL,2300 18TH ST NW,Washington,DC,20009,38.91997,-77.04177,NULL,1516 7TH ST NW,Washington,DC,20001,38.91044,-77.02197,2,14
1,UVC,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:30:51.6433333 +00:00,F873__75015__2017-01-01T00:30:51.643_26359393,26359393,11.35,2.52,0.25,1,0,15.12,1,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:22:00.0000000 +00:00,NULL,Tower Building,1401 K St NW,WA,0,38.90277,-77.03232,NULL,159 D St Se,Washington,DC,20003,38.88502,-77.00388,2.6,14
1,UVC,2017-01-01 00:09:00.0000000 +00:00,2017-01-01 00:30:51.8400000 +00:00,B919__73423__2017-01-01T00:30:51.840_26359394,26359394,9.19,0,0.25,0,0,9.44,2,2017-01-01 00:09:00.0000000 +00:00,2017-01-01 00:23:00.0000000 +00:00,NULL,200-216 15th St NW,Washington,DC,20230,38.89226,-77.03374,NULL,1458-1500 M St NW,Washington,DC,20005,38.90553,-77.03375,1.2,14
1,UVC,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:30:51.9733333 +00:00,G815__91151__2017-01-01T00:30:51.973_26359395,26359395,10.81,0,0.25,0,0,11.06,2,2017-01-01 00:07:00.0000000 +00:00,2017-01-01 00:23:00.0000000 +00:00,NULL,3128-3202 14th St NW,Washington,DC,20010,38.92981,-77.03289,NULL,1602 4th St Nw,Washington,DC,20001,38.91141,-77.01626,2.2,16
